,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
27,14,Waterloo Estates,Marion,Turner,6,Daughter,NA,Female,Student,None,NA
28,15,Waterloo Estates,Guy,Hall,46,Head,Single,Male,Psychiatrist,None,Catholic
29,16,Waterloo Estates,Jeffrey,Harris,25,Head,Single,Male,Learning disability nurse,None,None
30,17,Waterloo Estates,Lisa,Young,36,Head,Single,Female,Water quality scientist,None,Catholic
31,18,Waterloo Estates,Alex,Grant,64,Head,Single,Male,Unemployed,Physical Disability,None
32,19,Waterloo Estates,Josh,Jones,73,Head,Widowed,Male,"Retired Engineer, technical sales",None,None
33,20,Waterloo Estates,Barbara,Owen,47,Head,Married,Female,"Optician, dispensing",None,Christian
34,20,Waterloo Estates,Frank,Owen,48,Husband,Married,Male,"Administrator, Civil Service",None,Christian
35,20,Waterloo Estates,Karen,Owen,15,Daughter,NA,Female,Student,None,NA
36,1,Andrews Wells,Tracey,Cooper,36,Head,Married,Female,Tree surgeon,None,None
37,1,Andrews Wells,George,Cooper,38,Husband,Married,Male,Musician,None,None
38,1,Andrews Wells,Zoe,Carter,39,Cousin,Single,Female,Teaching laboratory technician,None,None
39,2,Andrews Wells,Deborah,Khan,52,Head,Married,Female,Ceramics designer,None,Christian
40,2,Andrews Wells,Paul,Khan,54,Husband,Married,Male,Counselling psychologist,None,Christian
41,2,Andrews Wells,Reece,Khan,3,Son,NA,Male,Child,None,NA
42,2,Andrews Wells,Annette,Coates,44,Lodger,Single,Female,Logistics and distribution manager,None,Catholic
43,2,Andrews Wells,Angela,Webster,47,Lodger,Single,Female,Race relations officer,None,Christian
44,3,Andrews Wells,Malcolm,Alexander,30,Head,Single,Male,Haematologist,None,Methodist
45,4,Andrews Wells,Charlotte,Bull,61,Head,Single,Female,Unemployed,None,Christian
46,4,Andrews Wells,Eric,Bull,26,Son,Single,Male,Visual merchandiser,None,None
47,4,Andrews Wells,Rachel,Bull,26,Daughter,Single,Female,Agricultural engineer,None,Christian
48,4,Andrews Wells,Louise,Bull,22,Daughter,Single,Female,University Student,None,None
49,4,Andrews Wells,Dean,Bull,17,Son,NA,Male,Student,None,NA
50,5,Andrews Wells,Stephanie,Jackson,33,Head,Single,Female,Unemployed,None,Christian
51,5,Andrews Wells,Brian,Smart,36,Partner,Single,M,"Psychologist, prison and probation services",None,Christian
52,6,Andrews Wells,Kelly,Smith,28,Head,Single,Female,Medical physicist,None,None
53,6,Andrews Wells,Bethany,Smith,1,Daughter,NA,Female,Child,None,NA
54,7,Andrews Wells,Gillian,Watson,81,Head,Married,Female,Retired Volunteer coordinator,None,Christian
55,7,Andrews Wells,Oliver,Watson,82,Husband,Married,Male,Retired Forensic psychologist,None,Christian
56,8,Andrews Wells,Mary,Davies,35,Head,Married,Female,Field seismologist,None,Catholic
57,8,Andrews Wells,Stewart,Davies,38,Husband,Married,Male,Unemployed,None,None
58,8,Andrews Wells,Alison,Davies,16,Daughter,NA,Female,Student,None,NA
59,8,Andrews Wells,Richard,Davies,13,Son,NA,Male,Student,None,NA
60,9,Andrews Wells,Jasmine,Collins,33,Head,Single,female,Architect,None,Christian
61,9,Andrews Wells,Denis,Collins,3,Son,NA,Male,Child,None,NA
62,10,Andrews Wells,Mitchell,Wright,55,Head,Married,Male,Exercise physiologist,None,Christian
63,10,Andrews Wells,Jane,Wright,53,Wife,Married,Female,Facilities manager,None,Christian
64,10,Andrews Wells,Wayne,Wright,15,Son,NA,Male,Student,None,NA
65,11,Andrews Wells,Grace,Taylor,39,Head,Single,Female,Administrator,None,Catholic
66,11,Andrews Wells,Lynn,Taylor,11,Daughter,NA,Female,Student,None,NA
67,12,Andrews Wells,Sian,Smart,33,Head,Single,Female,Unemployed,None,Christian
68,12,Andrews Wells,Katherine,Smart,4,Daughter,NA,Female,Child,None,NA
69,12,Andrews Wells,Gordon,Francis,23,Sibling,Single,Male,Building surveyor,None,None
70,12,Andrews Wells,Andrea,Richards,37,Visitor,Single,Female,Writer,None,Christian
71,12,Andrews Wells,Geoffrey,O'Connor,28,Lodger,Single,M,Hydrologist,None,Methodist
72,13,Andrews Wells,Beth,Waters,48,Head,Divorced,Female,Unemployed,None,Christian
73,13,Andrews Wells,Paula,Dixon-Waters,2,Daughter,NA,Female,Child,None,NA
74,14,Andrews Wells,Connor,Gardner,84,Head,Married,Male,Retired Brewing technologist,None,Christian
75,14,Andrews Wells,Naomi,Gardner,81,Wife,Married,Female,Retired Health promotion specialist,None,Christian
76,15,Andrews Wells,Hollie,Watkins,43,Head,Married,Female,Personnel officer,None,None
77,15,Andrews Wells,Duncan,Watkins,42,Husband,Married,Male,Chief Strategy Officer,None,None
78,15,Andrews Wells,Hilary,Watkins,13,Daughter,NA,Female,Student,None,NA
79,15,Andrews Wells,Carly,Watkins,9,Daughter,NA,Female,Student,None,NA
80,16,Andrews Wells,Katy,Harvey,50,Head,Married,Female,Forensic psychologist,None,Christian
81,16,Andrews Wells,Hugh,Harvey,50,Husband,Married,Male,Unemployed,None,None
82,16,Andrews Wells,Oliver,Harvey,21,Son,Single,Male,University Student,None,Christian
83,16,Andrews Wells,Craig,Harvey,20,Son,Single,Male,University Student,None,Christian
84,16,Andrews Wells,Phillip,Harvey,0,Son,NA,Male,Child,None,NA
85,17,Andrews Wells,Jack,Adams,65,Head,Married,Male,Tour manager,None,Christian
86,17,Andrews Wells,Jasmine,Adams,65,Wife,Married,f,Call centre manager,None,Christian
87,17,Andrews Wells,Stephanie,Adams,39,Daughter,Single,Female,Public librarian,None,Christian
88,17,Andrews Wells,Alice,Jones-Adams,36,Daughter,Single,Female,Unemployed,None,Christian
89,17,Andrews Wells,Paula,Jones-Adams,35,Daughter,Single,Female,Site engineer,None,Christian
90,18,Andrews Wells,Anna,Taylor,46,Head,Married,Female,Health promotion specialist,None,None
91,18,Andrews Wells,Shane,Taylor,48,Husband,Married,Male,Animator,None,None
92,18,Andrews Wells,Christine,Taylor,24,Daughter,Single,Female,Unemployed,None,None
93,18,Andrews Wells,Anne,Taylor,21,Daughter,Single,Female,University Student,None,None
94,18,Andrews Wells,Pamela,Taylor,18,Daughter,Single,Female,Student,None,None
95,18,Andrews Wells,Helen,Taylor,14,Daughter,NA,Female,Student,None,NA
96,19,Andrews Wells,Gerald,Smith,83,Head,Married,Male,Retired Chief Marketing Officer,None,None
97,19,Andrews Wells,Patricia,Smith,83,Wife,Married,Female,Retired Hydrogeologist,None,None
98,20,Andrews Wells,Ross,Howard,89,Head,Widowed,Male,Retired Ranger/warden,None,Christian
99,21,Andrews Wells,Kirsty,Wyatt,43,Head,Married,Female,"Editor, commissioning",None,Catholic
100,21,Andrews Wells,Darren,Wyatt,47,Husband,Married,Male,"Teacher, music",None,None
101,21,Andrews Wells,Jason,Wyatt,21,Son,Single,Male,"Psychologist, counselling",None,Catholic
102,21,Andrews Wells,Teresa,Wyatt,2,Daughter,NA,Female,Child,None,NA
103,22,Andrews Wells,Graeme,Schofield,50,Head,Divorced,Male,Applications developer,None,Catholic
104,23,Andrews Wells,Jessica,Haynes,38,Head,Single,Female,Unemployed,None,None
105,23,Andrews Wells,Carol,Haynes,12,Daughter,NA,Female,Student,None,NA
106,24,Andrews Wells,Jenna,Hammond,34,Head,Married,Female,Contracting civil engineer,None,None
107,24,Andrews Wells,Malcolm,Hammond,34,Husband,Married,Male,Catering manager,None,None
108,24,Andrews Wells,Thomas,Hammond,5,Son,NA,Male,Student,None,NA
109,24,Andrews Wells,Mark,Wade,27,Lodger,Single,Male,Hydrologist,None,Christian
110,24,Andrews Wells,Anne,Coates,27,Lodger,Single,Female,Brewing technologist,None,Methodist
111,25,Andrews Wells,Lucy,Reid,37,Head,Single,Female,Unemployed,None,Christian
112,25,Andrews Wells,Norman,Reid,10,Son,NA,Male,Student,None,NA
113,25,Andrews Wells,Stuart,Reid,6,Son,NA,Male,Student,None,NA
114,25,Andrews Wells,Graham,Robinson,26,Lodger,Single,Male,Horticultural consultant,None,None
115,26,Andrews Wells,Dawn,Shah,44,Head,Divorced,Female,Unemployed,None,None
116,26,Andrews Wells,Jayne,Shah,9,Daughter,NA,Female,Student,None,NA
117,26,Andrews Wells,David,Shah,8,Son,NA,Male,Student,None,NA
118,26,Andrews Wells,Anna,Shah,7,Daughter,NA,Female,Student,None,NA
119,26,Andrews Wells,Lorraine,Shah,3,Daughter,NA,Female,Child,None,NA
120,27,Andrews Wells,Terry,Davies,22,Head,Single,Male,University Student,None,None
121,27,Andrews Wells,Rosemary,Smith,23,Partner,Single,Female,Aid worker,None,None
122,28,Andrews Wells,Thomas,King,22,Head,Single,Male,University Student,None,None
123,28,Andrews Wells,Leon,Martin,23,Partner,Single,Male,"Engineer, energy",None,None
124,29,Andrews Wells,Diana,Brown,39,Head,Single,Female,"Psychologist, educational",None,Christian
125,29,Andrews Wells,Eric,Humphries,35,None,Single,Male,"Research officer, trade union",None,Catholic
126,29,Andrews Wells,Dominic,Macdonald,46,None,Single,Male,"Engineer, maintenance (IT)",None,Christian
127,29,Andrews Wells,Sean,Hartley,51,None,Single,Male,Environmental education officer,None,Christian
128,29,Andrews Wells,Joseph,Farmer,54,None,Single,Male,"Engineer, electronics",None,Christian
129,30,Andrews Wells,Damien,Wright,60,Head,Married,Male,Research scientist (physical sciences),None,None
130,30,Andrews Wells,Jayne,Wright,59,Wife,Married,Female,Unemployed,None,None
131,31,Andrews Wells,Derek,Lewis,56,Head,Single,Male,Scientific laboratory technician,None,None
132,31,Andrews Wells,Eleanor,Owens,55,Partner,Single,Female,"Nurse, adult",None,None
133,32,Andrews Wells,Jessica,Stewart,76,Head,Widowed,Female,Retired Legal secretary,None,None
134,33,Andrews Wells,Marie,Davies,63,Head,Married,Female,"Investment banker, operational",None,Christian
135,33,Andrews Wells,Connor,Davies,65,Husband,Married,Male,Software engineer,None,None
136,34,Andrews Wells,Alison,Smith,51,Head,Single,Female,Surgeon,None,Christian
137,34,Andrews Wells,Justin,Webb,53,Partner,Single,Male,"Engineer, energy",None,Christian
138,35,Andrews Wells,Natasha,Cole,18,Head,Single,Female,Student,None,NA
139,35,Andrews Wells,Albert,Page,20,Partner,Single,Male,University Student,None,NA
140,36,Andrews Wells,Annette,Ryan,36,Head,Single,Female,Hydrogeologist,None,Methodist
141,36,Andrews Wells,Laura,Ryan,12,Daughter,NA,Female,Student,None,NA
142,37,Andrews Wells,Howard,Lloyd,19,Head,Single,Male,University Student,None,Sikh
143,37,Andrews Wells,Melissa,Jones,19,Partner,Single,Female,University Student,None,Sikh
144,38,Andrews Wells,Karl,Cole,37,Head,Single,Male,Child psychotherapist,None,None
145,38,Andrews Wells,Frank,Taylor,41,None,Single,Male,Medical laboratory scientific officer,None,Catholic
146,39,Andrews Wells,Gemma,Davies,33,Head,Single,female,"Surveyor, land/geomatics",None,None
147,39,Andrews Wells,Christine,Davies,11,Daughter,NA,Female,Student,None,NA
148,39,Andrews Wells,Kathryn,Davies,9,Daughter,NA,Female,Student,None,NA
149,40,Andrews Wells,Kerry,Shepherd,50,Head,Married,Female,Facilities manager,None,None
150,40,Andrews Wells,Edward,Shepherd,49,Husband,Married,Male,Archivist,None,None
151,40,Andrews Wells,Georgia,Shepherd,13,Daughter,NA,Female,Student,None,NA
152,40,Andrews Wells,Carolyn,Shepherd,12,Daughter,NA,Female,Student,None,NA
153,40,Andrews Wells,Heather,Shepherd,10,Daughter,NA,Female,Student,None,NA
154,41,Andrews Wells,Grace,Wright,47,Head,Married,Female,Recycling officer,None,None
155,41,Andrews Wells,Gregory,Wright,48,Husband,Married,Male,"Accountant, chartered",None,None
156,41,Andrews Wells,Bradley,Wright,18,Son,Single,Male,Student,None,None
157,41,Andrews Wells,Cameron,Wright,11,Son,NA,Male,Student,None,NA
158,42,Andrews Wells,Olivia,Baker,51,Head,Married,Female,Horticultural consultant,None,Christian
159,42,Andrews Wells,Hugh,Baker,55,Husband,Married,Male,Glass blower/designer,None,Christian
160,42,Andrews Wells,Stephen,Baker,21,Son,Single,Male,University Student,None,None
161,42,Andrews Wells,Rebecca,Baker,19,Daughter,Single,f,University Student,None,Christian
162,42,Andrews Wells,Robert,Baker,2,Son,NA,Male,Child,None,NA
163,43,Andrews Wells,Sian,Tucker,38,Head,Single,Female,Unemployed,None,Catholic
164,43,Andrews Wells,Sheila,Tucker,11,Daughter,NA,Female,Student,None,NA
165,43,Andrews Wells,Damien,Tucker,7,Son,NA,Male,Student,None,NA
166,43,Andrews Wells,Julie,Tucker,4,Daughter,NA,Female,Child,None,NA
167,43,Andrews Wells,Alan,Tucker,3,Son,NA,Male,Child,None,NA
168,44,Andrews Wells,Janice,Lewis,62,Head,Divorced,Female,Unemployed,None,Christian
169,44,Andrews Wells,Dean,Lewis,34,Son,Single,Male,Unemployed,None,Christian
170,44,Andrews Wells,Chloe,Lewis,31,Daughter,Single,Female,Petroleum engineer,None,None
171,45,Andrews Wells,Barry,Jordan,79,Head,Married,Male,Retired Photographer,None,Christian
172,45,Andrews Wells,Sophie,Jordan,78,Wife,Married,Female,Retired Careers information officer,None,Christian
173,46,Andrews Wells,Jill,Brown,33,Head,Married,Female,Textile designer,None,Christian
174,46,Andrews Wells,Rhys,Brown,31,Husband,Married,Male,"Geologist, wellsite",None,Christian
175,47,Andrews Wells,Chelsea,Johnson,44,Head,Divorced,Female,Unemployed,None,Sikh
176,47,Andrews Wells,Janice,Johnson,13,Daughter,NA,Female,Student,None,NA
177,47,Andrews Wells,Sandra,Johnson,9,Daughter,NA,Female,Student,None,NA
178,47,Andrews Wells,David,Johnson,8,Son,NA,Male,Student,None,NA
179,47,Andrews Wells,Marcus,Johnson,7,Son,NA,Male,Student,None,NA
180,48,Andrews Wells,Jack,Taylor,52,Head,Single,Male,Radio producer,None,Christian
181,48,Andrews Wells,Jane,Wright,53,Partner,Single,Female,"Exhibitions officer, museum/gallery",None,None
182,49,Andrews Wells,Stuart,Bowen,55,Head,Single,Male,Legal secretary,None,Christian
183,50,Andrews Wells,Lydia,Williams,50,Head,Single,Female,"Engineer, energy",None,None
184,50,Andrews Wells,Elliot,Jackson,52,Partner,Single,Male,"Engineer, control and instrumentation",None,None
185,50,Andrews Wells,Marilyn,Williams,25,Daughter,Single,Female,Transport planner,None,None
186,50,Andrews Wells,Marilyn,Williams,24,Daughter,Single,Female,Ergonomist,None,None
187,50,Andrews Wells,Daniel,Williams,22,Son,Divorced,Male,University Student,None,None
188,50,Andrews Wells,Tony,Brookes-Williams,1,Son,NA,Male,Child,None,NA
189,51,Andrews Wells,Frances,Bird,37,Head,Single,Female,Print production planner,None,None
190,51,Andrews Wells,Katie,Pope,44,None,Single,Female,Printmaker,None,None
191,51,Andrews Wells,Danny,Stanley,36,None,Single,Male,Quantity surveyor,None,Christian
192,52,Andrews Wells,Dorothy,Jackson,41,Head,Married,Female,Sports coach,None,Christian
193,52,Andrews Wells,Allan,Jackson-Harrison,48,Husband,Married,Male,Financial manager,None,Christian
194,52,Andrews Wells,Dale,Jackson-Harrison,24,Son,Single,Male,"Horticulturist, amenity",None,None
195,52,Andrews Wells,Damian,Jackson-Harrison,22,Son,Single,Male,University Student,None,Christian
196,53,Andrews Wells,Vanessa,Cross,77,Head,Married,Female,"Retired Administrator, arts",None,Christian
197,53,Andrews Wells,Arthur,Cross,82,Husband,Married,Male,Retired Print production planner,None,Christian
198,53,Andrews Wells,Beth,Cross,42,Daughter,Single,Female,Microbiologist,None,Christian
199,53,Andrews Wells,Gavin,Cross,42,Son,Single,Male,Osteopath,None,Christian
200,53,Andrews Wells,Ricky,Cross,39,Son,Divorced,Male,"Nurse, children's",None,Christian
201,54,Andrews Wells,Mathew,Brady,33,Head,Single,Male,Private music teacher,None,Christian
202,54,Andrews Wells,Cheryl,Thomas,50,None,Single,Female,Neurosurgeon,None,Catholic
203,55,Andrews Wells,Andrea,Frost,31,Head,Single,Female,IT trainer,None,Catholic
204,55,Andrews Wells,Julian,Lewis-Frost,3,Step-Son,NA,Male,Child,None,NA
205,56,Andrews Wells,Declan,Yates,33,Head,Married,Male,Dispensing optician,None,None
206,56,Andrews Wells,Eleanor,Yates,36,Wife,Married,Female,Unemployed,None,None
207,57,Andrews Wells,Joseph,Williams,24,Head,Married,Male,Patent examiner,None,None
208,57,Andrews Wells,Georgia,Williams,25,Wife,Married,Female,"Engineer, civil (consulting)",None,None
209,1,Clementine Street,Lawrence,French,27,Head,Single,Male,Print production planner,None,Catholic
210,2,Clementine Street,Judith,Smith,32,Head,Married,Female,"Scientist, audiological",None,None
211,2,Clementine Street,Jordan,Smith,41,Husband,Married,Male,IT trainer,None,None
212,2,Clementine Street,Patricia,Smith,5,Daughter,NA,Female,Student,None,NA
213,3,Clementine Street,Roy,White,68,Head,Married,Male,"Retired Doctor, general practice",None,Methodist
214,3,Clementine Street,Valerie,White,71,Wife,Married,Female,"Retired Scientist, research (maths)",None,Methodist
215,4,Clementine Street,Catherine,Smith,25,Head,Married,Female,Ophthalmologist,None,None
216,4,Clementine Street,Geoffrey,Smith,25,Husband,Married,Male,Bookseller,None,Sikh
217,5,Clementine Street,Ryan,Young,18,Head,Single,Male,Student,None,NA
218,5,Clementine Street,Joyce,Hill,19,Partner,Single,Female,University Student,None,NA
219,6,Clementine Street,Lorraine,Holland,60,Head,Single,Female,"Nurse, learning disability",None,None
220,6,Clementine Street,Donald,Kennedy,50,None,Single,Male,Community arts worker,None,Methodist
221,6,Clementine Street,Megan,Ball,63,None,Single,Female,Quarry manager,None,Christian
222,7,Clementine Street,Beverley,Wilson,69,Head,Widowed,Female,"Retired Exhibitions officer, museum/gallery",None,Catholic
223,7,Clementine Street,Francesca,Patel-Wilson,10,Granddaughter,NA,Female,Student,None,NA
224,8,Clementine Street,Mandy,Gregory,45,Head,Divorced,Female,Unemployed,None,None
225,8,Clementine Street,Robert,Gregory,8,Son,NA,Male,Student,None,NA
226,8,Clementine Street,Shirley,Gregory,4,Daughter,NA,Female,Child,None,NA
227,8,Clementine Street,Tony,Gregory,4,Son,NA,Male,Child,None,NA
228,8,Clementine Street,Hayley,Gregory,0,Daughter,NA,Female,Child,None,NA
229,9,Clementine Street,Alice,White,19,Head,Married,Female,University Student,None,None
230,9,Clementine Street,Julian,White,21,Husband,Married,Male,University Student,None,None
231,10,Clementine Street,Amelia,Harding,52,Head,Single,Female,Unemployed,None,Christian
232,10,Clementine Street,Tom,Harding,21,Son,Divorced,Male,University Student,None,None
233,10,Clementine Street,Mohammad,Harding,19,Son,Single,Male,University Student,None,Christian
234,11,Clementine Street,Jennifer,Singh,44,Head,Single,Female,"Programmer, systems",None,Christian
235,11,Clementine Street,Abdul,Singh,10,Son,NA,Male,Student,None,NA
236,11,Clementine Street,Josh,Singh,10,Son,NA,Male,Student,None,NA
237,11,Clementine Street,Jeffrey,Singh,8,Son,NA,Male,Student,None,NA
238,12,Clementine Street,Joshua,Leonard,38,Head,Single,Male,Ship broker,None,Christian
239,13,Clementine Street,Owen,Khan,56,Head,Single,Male,Unemployed,None,None
240,14,Clementine Street,Eileen,Potts,28,Head,Divorced,Female,Clinical embryologist,None,Christian
241,15,Clementine Street,Aimee,Owen,19,Head,Single,Female,University Student,None,Christian
242,15,Clementine Street,Christopher,Gibson,58,None,Single,Male,Research scientist (maths),None,Methodist
243,1,Duffy Ramp,Jenna,Patel,54,Head,Married,Female,Automotive engineer,None,None
244,1,Duffy Ramp,Roger,Patel,52,Husband,Married,Male,Air broker,None,None
245,1,Duffy Ramp,Sean,Patel,21,Son,Divorced,Male,University Student,None,None
246,1,Duffy Ramp,Elliot,Patel,20,Son,Single,Male,University Student,None,None
247,1,Duffy Ramp,Jill,Patel,19,Daughter,Single,Female,University Student,None,None
248,1,Duffy Ramp,Carly,Patel,17,Daughter,NA,Female,Student,None,NA
249,2,Duffy Ramp,Gareth,Long,45,Head,Married,Male,Hydrologist,None,None
250,2,Duffy Ramp,Chloe,Long,44,Wife,Married,Female,Film/video editor,None,None
251,2,Duffy Ramp,Christian,Long,9,Son,NA,Male,Student,None,NA
252,2,Duffy Ramp,Craig,Long,5,Son,NA,Male,Student,None,NA
253,3,Duffy Ramp,Lucy,Stevenson,22,Head,Single,f,University Student,None,None
254,3,Duffy Ramp,Rachel,White,19,None,Single,Female,University Student,None,Christian
255,3,Duffy Ramp,Cheryl,Smith,22,None,Single,Female,University Student,None,None
256,3,Duffy Ramp,Craig,Thomas,20,None,Single,Male,University Student,None,Christian
257,4,Duffy Ramp,Angela,Clayton,50,Head,Divorced,Female,Unemployed,None,Methodist
258,4,Duffy Ramp,Alex,Clayton,22,Son,Divorced,Male,University Student,None,Methodist
259,4,Duffy Ramp,Maureen,Clayton,22,Daughter,Divorced,Female,University Student,None,Methodist
260,4,Duffy Ramp,Amber,Clayton,19,Daughter,Single,female,University Student,None,None
261,5,Duffy Ramp,Rachel,Rose,28,Head,Single,Female,Film/video editor,None,Christian
262,5,Duffy Ramp,Valerie,Chambers,24,None,Single,Female,Prison officer,None,Sikh
263,5,Duffy Ramp,Kerry,Willis,44,None,Single,Female,Illustrator,None,Catholic
264,5,Duffy Ramp,Linda,Oliver,57,None,Single,Female,"Engineer, biomedical",None,None
265,6,Duffy Ramp,Jenna,Cole,74,Head,Divorced,female,Unemployed,None,Christian
266,6,Duffy Ramp,Tracy,Cole,41,Daughter,Divorced,Female,"Investment banker, operational",None,None
267,6,Duffy Ramp,Samuel,Cole,39,Son,Single,Male,Warehouse manager,None,Christian
268,7,Duffy Ramp,Lisa,Wright,36,Head,Single,Female,Unemployed,None,Catholic
269,7,Duffy Ramp,Jake,Morris,36,Partner,Single,Male,"Administrator, education",None,None
270,7,Duffy Ramp,Jemma,Wright,12,Daughter,NA,Female,Student,None,NA
271,7,Duffy Ramp,Shane,Wright,7,Son,NA,Male,Student,None,NA
272,7,Duffy Ramp,Dean,Wright,6,Son,NA,Male,Student,None,NA
273,7,Duffy Ramp,Jane,Wright,6,Daughter,NA,Female,Student,None,NA
274,1,Watson Lane,Steven,Lewis,27,Head,Married,Male,Environmental consultant,None,None
275,1,Watson Lane,Carole,Lewis,24,Wife,Married,Female,Dentist,None,None
276,2,Watson Lane,Heather,Kennedy,58,Head,Divorced,Female,"Engineer, building services",None,Catholic
277,3,Watson Lane,Sian,Moore,61,Head,Married,Female,Animal technologist,None,None
278,3,Watson Lane,Josh,Moore,69,Husband,Married,Male,Retired Insurance risk surveyor,None,None
279,3,Watson Lane,Valerie,Moore,27,Daughter,Single,Female,"Therapist, occupational",None,None
280,3,Watson Lane,Heather,Moore,26,Daughter,Single,Female,Environmental health practitioner,None,None
281,3,Watson Lane,Jean,Moore,11,Daughter,NA,Female,Student,None,NA
282,4,Watson Lane,Linda,Elliott,44,Head,Single,Female,Unemployed,None,Christian
283,4,Watson Lane,Maurice,Elliott,5,Son,NA,Male,Student,None,NA
284,5,Watson Lane,Charlotte,Singh,38,Head,Single,Female,Water quality scientist,None,Catholic
285,5,Watson Lane,Roger,Smith,45,Partner,Single,Male,Occupational hygienist,None,Catholic
286,5,Watson Lane,Deborah,Singh,19,Daughter,Widowed,Female,University Student,None,Catholic
287,5,Watson Lane,Vanessa,Singh,16,Daughter,NA,Female,Student,None,NA
288,6,Watson Lane,Kyle,Ellis,81,Head,Widowed,Male,Retired Electronics engineer,None,Christian
289,7,Watson Lane,Sylvia,Smith,43,Head,Married,Female,Rural practice surveyor,None,Methodist
290,7,Watson Lane,Jeffrey,Smith,43,Husband,Married,Male,"Engineer, biomedical",None,None
291,7,Watson Lane,Norman,Thompson,7,Step-Son,NA,Male,Student,None,NA
292,7,Watson Lane,Frederick,Brown,2,Step-Son,NA,Male,Child,None,NA
293,8,Watson Lane,Kerry,Davies,42,Head,Married,f,"Research officer, trade union",None,None
294,8,Watson Lane,Justin,Davies,48,Husband,Married,Male,Barrister's clerk,None,None
295,8,Watson Lane,Megan,Davies,12,Daughter,NA,Female,Student,None,NA
296,8,Watson Lane,Iain,Davies,9,Son,NA,Male,Student,None,NA
297,9,Watson Lane,Jill,Lloyd,56,Head,Married,Female,Firefighter,None,Catholic
298,9,Watson Lane,Roger,Lloyd,61,Husband,Married,Male,Ergonomist,None,Catholic
299,10,Watson Lane,Josh,Cox,72,Head,Single,Male,Retired Cartographer,None,Catholic
300,11,Watson Lane,Marian,Griffiths,59,Head,Single,Female,Warehouse manager,None,Christian
301,11,Watson Lane,Trevor,Waters,55,Partner,Single,Male,Quantity surveyor,None,Christian
302,12,Watson Lane,Jodie,Bell,22,Head,Single,Female,University Student,None,Catholic
303,12,Watson Lane,Frederick,Bell,5,Son,NA,Male,Student,None,NA
304,1,Jarvis Parkways,Josh,Barton,40,Head,Single,Male,Proofreader,None,None
305,1,Jarvis Parkways,Ashleigh,Hayes,57,None,Single,Female,"Engineer, water",None,None
306,2,Jarvis Parkways,Lauren,Barker,45,Head,Divorced,Female,Financial manager,None,Christian
307,2,Jarvis Parkways,Melissa,Barker,17,Daughter,NA,Female,Student,None,NA
308,2,Jarvis Parkways,Albert,Barker,15,Son,NA,Male,Student,None,NA
309,2,Jarvis Parkways,Charles,Barker,15,Son,NA,Male,Student,None,NA
